"Current store is not active.","映射数据"
"Requested store is inactive","请求的存储处于非活动状态"
"Requested store is not found","找不到请求的存储"
"Environment emulation nesting is not allowed.","不允许环境仿真嵌套。"
"Only default scope allowed","只有默认允许范围"
"Invalid scope object","无效的范围对象"
"Store with the same code","使用相同的代码存储"
"Website with the same code","使用相同代码的网站"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter."
"Name is required","名称是必需的"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter."
"Store is inactive","存储处于非活动状态"
"Default store is inactive","默认存储处于非活动状态"
"All Store Views","所有商店界面"
"-- Please Select --","-- 请选择 --"
"Admin","管理员"
"More than one default website is defined","定义了多个默认网站"
"Default website is not defined","未定义默认网站"
"Your Language:","您的语言："
"Your Language","您的语言："
"Language","语言"
"Select Store","选择存储"
"Configuration","设置"
"Various XML configurations that were collected across modules and merged.","不同的 XML 配置，在模块收集和合并。"
"Layouts","布局"
"Layout building instructions.","布局建设的指示。"
"Blocks HTML output","块 HTML 输出"
"Page blocks HTML.","页块 HTML。"
"Collections Data","收集数据"
"Collection data files.","收集的数据文件。"
"Reflection Data","反射数据"
"API interfaces reflection data.","API 接口反射数据。"
"Database DDL operations","数据库 DDL 操作"
"Results of DDL queries, such as describing tables or indexes.","DDL 查询，例如描述表或索引的结果。"
