"Search Term","否"
"Results","结果"
"Uses","应用"
"Search Terms","搜索条件"
"Search","搜索"
"Add New Search Term","同义词"
"Save Search","保存搜索"
"Delete Search","删除搜索"
"Edit Search '%1'","编辑搜索 '%1'"
"New Search","新的搜索"
"Search Information","搜索信息"
"General Information","常规信息"
"No","否"
"Yes","是"
"Search Query","重定向URL"
"Store","商店"
"Number of results","结果数量："
"Number of results (For the last time placed)","(为最后一次放置) 结果数目"
"For the last time placed.","最后一次放置。"
"Number of Uses","使用次数"
"Synonym For","同义词为"
"Will make search for the query above return results for this search","将使上面返回的结果为此搜索查询的搜索"
"Redirect URL","重定向 URL"
"ex. http://domain.com","如: http://domain.com"
"Display in Suggested Terms","在显示建议的措辞"
"You deleted the search.","你删除的搜索。"
"We can't find a search term to delete.","我们找不到一个搜索词删除。"
"This search no longer exists.","该搜索已不存在。"
"Edit Search","编辑搜索"
"Please select searches.","请选择搜索。"
"Total of %1 record(s) were deleted.","共有%1结果已被删除。"
"Reports","报告"
"Search Terms Report","搜索字词报告"
"You saved the search term.","您保存的搜索词。"
"Something went wrong while saving the search query.","保存搜索查询时，出了错。"
"You already have an identical search term query.","你已经有一个相同的搜索词查询。"
"Your search query can't be longer than %1, so we shortened your query.","您的搜索查询不能超过 %1，所以我们缩短您的查询。"
"Search entire store here...","在这里搜索整个商店..."
"There are no search terms available.","没有搜索条件。"
"Search Engine","搜索引擎"
"CSV","Excel XML"
"Excel XML","XML Excel"
"ID","ID"
"Hits","点击"
"Delete","删除"
"Are you sure?","您确定吗？"
"Synonym","同义词"
"Suggested Terms","建议的条款"
"yes","是"
"no","否"
"Action","操作"
"Edit","编辑"
