"Shopping Cart","购物车"
"Invalid method: %1","支付失败邮件副本发送方式"
"City","城市"
"Country","国家"
"State/Province","州/省"
"Zip/Postal Code","邮编"
"My Cart (1 item)","我的购物车 (1 项)"
"My Cart (%1 items)","我的购物车 (%1 项目)"
"My Cart","我的购物车"
"Minimum order amount is %1","最小起订量是 %1"
"Customer is already registered","客户已注册"
"Your session has expired","您的会话已过期"
"You added %1 to your shopping cart.","您已添加 %1 到您的购物车"
"We can't add this item to your shopping cart right now.","我们这个项目不能添加到您的购物车现在。"
"Out of stock","缺货"
"We can't find the quote item.","我们找不到引用项。"
"We cannot configure the product.","我们不能配置该产品。"
"You used coupon code ""%1"".","你使用优惠券代码""%1""。"
"The coupon code ""%1"" is not valid.","编辑项目参数"
"You canceled the coupon code.","你取消的优惠券代码。"
"We cannot apply the coupon code.","我们不能适用的优惠券代码。"
"We can't remove the item.","我们不能删除该项目。"
"%1 was updated in your shopping cart.","%1 已更新您的购物车中。"
"We can't update the item right now.","我们现在不能更新该项目。"
"We can't update the shopping cart.","我们不能更新购物车。"
"One-page checkout is turned off.","单页结帐处于关闭状态。"
"Guest checkout is disabled.","禁用了来宾结帐。"
"Checkout","结帐"
"Page not found.","找不到网页。"
"Please agree to all the terms and conditions before placing the order.","请在下订单前同意所有的条款和条件。"
"Something went wrong while processing your order. Please try again later.","在处理您的订单时，出了错。请稍后再试。"
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 不延长 \Magento\Checkout\CustomerData\ItemInterface"
"We can't find the product.","我们找不到该产品"
"The product does not exist.","产品不存在。"
"We don't have some of the products you want.","我们不要有一些你想要的产品。"
"We don't have as many of some products as you want.","如你所愿，我们没有那么多一些产品。"
"Quantity was recalculated from %1 to %2","数量是重新计算从 %1 到 %2"
"We adjusted product quantities to fit the required increments.","我们调整产品数量以适应所需的增量。"
"This quote item does not exist.","这一报价项目不存在。"
"Display number of items in cart","在购物车中显示项目的数"
"Display item quantities","显示物料数量"
"Shipping address is not set","运营商有这样的方法没有发现：%1%2"
"Unable to save address. Please, check input data.","无法保存地址。请检查输入的数据。"
"Carrier with such method not found: %1, %2","承运人用这样的方法找不到: %1，%2"
"Unable to save shipping information. Please, check input data.","无法保存航运信息。请检查输入的数据。"
"Cart contains virtual product(s) only. Shipping address is not applicable.","购物车只包含虚拟产品。送货地址是不适用的。"
"Shipping method is not applicable for empty cart","送货方式不是适用于空购物车"
" item","项目"
" items","项目"
"Totals calculation is not applicable to empty cart","总计计算是不适用于空购物车"
"Invalid data","无效的数据"
"The customer address is not valid.","客户地址不是有效的。"
"Invalid shipping method","无效的运输方法"
"There are more than one shipping addresses.","有多个送货地址。"
"Sorry, guest checkout is not available.","对不起，客人结帐不是可用的。"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","您必须确认您的帐户，请检查您电子邮件的确认链接或<a href=""%1"">点击此处</a>打开一个新的链接。"
"Load customer quote error","加载客户报价单错误"
"Error message!","错误消息!"
"Error!","错误!"
"Wrong minimum amount.","错误的最小金额。"
"Message","信息"
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1""onclick=""this.target='_blank'""class=""print""> 打印收据</a>"
"Apply Discount Code","应用折扣代码"
"Enter discount code","请输入折扣代码"
"Apply Discount","应用折扣"
"Cancel Coupon","取消优惠券"
"Shopping Cart Items","购物车里的产品"
"Item","产品"
"Price","价格"
"Qty","数量"
"Subtotal","小计"
"Continue Shopping","继续购物"
"Clear Shopping Cart","没有付款方式"
"Update Shopping Cart","更新购物车"
"Update Cart","更新购物车"
"See price before order confirmation.","确认订单前显示价格。"
"What's this?","这是什么？"
"Edit item parameters","修改参数"
"Edit","编辑"
"Remove item","删除项目"
"You have no items in your shopping cart.","你有没有项目在您的购物车中。"
"Click <a href=""%1"">here</a> to continue shopping.","单击 <a href=""%1""> 此处</a> 继续购物。"
"Estimate Tax","估计税"
"Estimate Shipping and Tax","估计运费和税"
"Excl. Tax","不包括消费税"
"Loading...","加载 。。。"
"Order #","订单 #"
"Proceed to Checkout","结帐"
"Product Name","产品名称"
"Incl. Tax","含。税"
"Your order number is: %1.","您的订单编号是: %1。"
"Your order # is: <span>%1</span>.","您的订单号是: <span>%1</span>。"
"We'll email you an order confirmation with details and tracking info.","我们马上给您发订单确认的详细信息和跟踪信息。"
"Payment Transaction Failed","付款交易记录失败"
"Reason","原因"
"Checkout Type","签出类型"
"Customer:","客户:"
"Items","产品"
"Total:","总数:"
"Billing Address:","帐单地址:"
"Shipping Address:","收货地址："
"Shipping Method:","送货方法："
"Payment Method:","支付方式:"
"Date & Time:","日期时间："
"Checkout Options","签出选项"
"Enable Onepage Checkout","使页条页结帐"
"Allow Guest Checkout","允许访客结帐"
"Require Customer To Be Logged In To Checkout","要求客户必须登录到签出"
"Quote Lifetime (days)","引述有效期 (天)"
"After Adding a Product Redirect to Shopping Cart","将产品重定向添加到购物车后"
"My Cart Link","我购物车链接"
"Display Cart Summary","显示购物车摘要"
"Shopping Cart Sidebar","购物车侧边栏"
"Display Shopping Cart Sidebar","显示购物车侧边栏"
"Maximum Display Recently Added Item(s)","最大显示最近添加的项目"
"Payment Failed Emails","支付失败的电子邮件"
"Payment Failed Email Sender","支付失败邮件发件人"
"Payment Failed Email Receiver","支付失败邮件接收者"
"Payment Failed Template","支付失败模板"
"Email template chosen based on theme fallback when ""Default"" option is selected.","电子邮件模板选择基于主题的回退时，选择“默认”选项。"
"Send Payment Failed Email Copy To","发送付款失败邮件的复件到"
"Separate by "","".","单独的""，""。"
"Send Payment Failed Email Copy Method","发送支付失败邮件副本的方法"
"Shipping","运费"
"Order Total","订单金额"
"Shipping Address","送货地址"
"Save Address","保存地址"
"Cancel","保存"
"We'll send your order confirmation here.","在这里，我们会给您的订单确认。"
"For delivery questions.","为交货问题。"
