"Export VCL for Varnish ","Public content cache lifetime in seconds。 If field is empty default value 86400 will be saved。 "
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","Ttl 值""%1""不是有效的。请只使用数字等于或大于零。"
"Built-in Application (Not Recommended for Production Use)","Built-in Application (Not Recommended for Production Use)"
"Varnish Caching","清漆缓存"
"Full Page Cache","整页缓存"
"Caching Application","缓存中的应用"
"Varnish Configuration","清漆配置"
"Access list","访问列表"
"IPs access list separated with ',' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved.","IPs 的访问列表分隔与 '，'，可以清除配置文件生成的清漆配置。                            如果字段为空将保存默认值 localhost。"
"Backend host","后端主机"
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","为配置文件生成指定后端主机。如果字段为空将保存默认值 localhost。"
"Backend port","后端端口"
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","为配置文件生成指定后端端口。如果字段为空将保存默认值 8080。"
"TTL for public content","TTL 为公开内容的"
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved. ","以秒为单位的公共内容缓存有效期。如果字段为空将保存默认值 86400。"
"Page Cache","页面缓存"
"Full page caching.","整页缓存。"
