"ALL GROUPS","有货"
"Customer Group","客户组"
"Minimum Qty","退款后自动返回库存"
"Add Minimum Qty","添加最低数量"
"We can't rebuild the index for an undefined product.","我们不能重建索引未定义的产品。"
"Could not rebuild index for empty products array","无法重建索引空的产品阵列"
"The stock item for Product is not valid.","产品的库存记录不是有效的。"
"This product is out of stock.","本产品是缺货。"
"Some of the products are out of stock.","部分产品已脱销。"
"The stock item for Product in option is not valid.","库存产品选项中的不是有效的。"
"Undefined product type","未定义的产品类型"
"%1 is not a correct comparison method.","%1 不是一个正确的比较方法。"
"No Backorders","没有延期交货"
"Allow Qty Below 0","允许数量低于 0"
"Allow Qty Below 0 and Notify Customer","允许数量低于 0 并通知客户"
"In Stock","有货"
"Out of Stock","缺货"
"Stock Item with id ""%1"" does not exist.","Id 为""%1""的库存项目不存在。"
"Stock with id ""%1"" does not exist.","股票与 id""%1""并不存在。"
"Not all of your products are available in the requested quantity.","不是所有的你的产品有请求的数量。"
"Product with SKU ""%1"" does not exist","产品与 SKU""%1""不存在"
"The fewest you may purchase is %1.","您可以购买最少是 %1。"
"Please correct the quantity for some products.","请更正一些产品的数量。"
"The most you may purchase is %1.","您可以购买的大部分是 %1。"
"We don't have as many \"%1\" as you requested.","我们没有像许多 \"%1\"按照你方要求。"
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","我们没有像很多""%1""作为你的要求，但是我们还回来订单剩余的 %2。"
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","我们没有""%1""在请求的数量，所以我们马上就回来订单剩余的 %2。"
"You can buy %1 only in quantities of %2 at a time.","你可以一次买只在数量的 %2 %1。"
"You can buy this product only in quantities of %1 at a time.","你可以一次买这种产品只在 %1 的数量。"
"Decimal qty increments is not allowed.","不允许小数数量的增量。"
"%1 is available to buy in increments of %2","%1 是 %2 的可购买的增量"
"Only %1 left","只有 %1 左"
"Product availability","产品的可用性"
"Product Name","产品名称"
"Qty","数量"
"Inventory","库存"
"Stock Options","股票期权"
"Decrease Stock When Order is Placed","减少库存时订单"
"Set Items' Status to be In Stock When Order is Cancelled","设置项目的状态，要在库存当订单被取消"
"Display Out of Stock Products","显示库存产品的出"
"Products will still be shown by direct product URLs.","产品仍将通过直接产品 Url 所示。"
"Only X left Threshold","只留下阈值的 X"
"Display products availability in stock on Storefront.","在股市上店面中显示产品的可用性。"
"Product Stock Options","产品股票期权"
"
                    Please note that these settings apply to individual items in the cart, not to the entire cart.
                ","请注意，这些设置适用于单个项目的购物车，不到整个购物车中。"
"Manage Stock","数量增加"
"Backorders","延期交货"
"Maximum Qty Allowed in Shopping Cart","购物车中允许的最大数量"
"Out-of-Stock Threshold","股份制阈值"
"Minimum Qty Allowed in Shopping Cart","购物车中允许的最小数量"
"Notify for Quantity Below","对于下面的数量通知"
"Automatically Return Credit Memo Item to Stock","自动返回到股票的信用备忘项目"
"Enable Qty Increments","启用数量增量"
"Qty Increments","数量的增量"
"Stock","股票"
"Index stock","股票指数"
"Quantity","数量"
