"Integrations","没有发现集成"
"Add New Integration","添加新的集成"
"API","API"
"Save","保存"
"Save & Activate","保存与激活"
"New Integration","新的集成"
"Edit Integration '%1'","编辑一体化 '%1'"
"Integration Info","集成信息"
"General","基本的"
"Name","名字"
"Email","邮箱"
"Callback URL","回调 URL"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","输入 URL 使用 Oauth 令牌交换时，可以发送位置 Oauth 凭据。我们强烈建议使用 https://。"
"Identity link URL","标识链接 URL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL 重定向用户链接第三方账号与此 Magento 一体化凭据。"
"Integration Details","集成详细资料"
"Basic Settings","基本设置"
"Integration Tokens for Extensions","扩展的集成令牌"
"Consumer Key","消费者的关键"
"Consumer Secret","消费者的秘密"
"Access Token","访问令牌"
"Access Token Secret","访问令牌密钥"
"Uninstall the extension to remove this integration","卸载要删除这种集成的扩展"
"Remove","删除"
"View","查看"
"Edit","编辑"
"Activate","激活"
"Reauthorize","批准"
"Uninstall the extension to remove integration '%1'.","卸载要删除 '%1' 的集成的扩展。"
"This integration no longer exists.","这种集成不再存在。"
"The integration '%1' has been deleted.","'%1' 一体化已被删除。"
"Integration ID is not specified or is invalid.","集成 ID 没有指定或无效。"
"Internal error. Check exception log for details.","内部错误。检查异常错误日志的详细信息。"
"View ""%1"" Integration","视图""%1""集成"
"Edit ""%1"" Integration","编辑""%1""一体化"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","警告!不使用 HTTPS 的集成是不安全和潜在公开私人或个人身份的信息"
"The integration '%1' has been saved.","'%1' 一体化已被保存。"
"The integration was not saved.","未保存的一体化。"
"The integration '%1' has been re-authorized.","'%1' 一体化已成为重新授权。"
"The integration '%1' has been activated.","'%1' 一体化已被激活。"
"Integration '%1' has been sent for re-authorization.","一体化 '%1' 已发送的重新授权。"
"Integration '%1' has been sent for activation.","一体化 '%1' 已发送的激活。"
"You did not sign in correctly or your account is temporarily disabled.","登录不正确或者您的账号已禁用。"
"This user has no tokens.","此用户已没有标记。"
"The tokens could not be revoked.","标记不会被吊销。"
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","对不起，出了错授予权限。你可以找出更多的异常日志。"
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","删除角色和权限时出了错。你可以找出更多的异常日志。"
"This customer has no tokens.","该客户有没有标记。"
"Inactive","未激活"
"Active","活动"
"Integration with name '%1' exists.","与名称 '%1' 的集成存在。"
"Integration with ID '%1' does not exist.","不存在 id 为 '%1' 的集成。"
"Invalid Callback URL","无效的回调 URL"
"Invalid Rejected Callback URL","无效的被拒绝的回调 URL"
"Incorrect timestamp value in the oauth_timestamp parameter","Oauth_timestamp 参数中不正确的时间戳值"
"The nonce is already being used by the consumer with ID %1","Nonce 已经正在利用消费者与 ID %1"
"An error occurred validating the nonce","验证 nonce 时发生错误"
"Cannot convert to access token due to token is not request type","不能转换为访问令牌由于令牌不是请求类型"
"Consumer key has expired","消费者密钥已过期"
"Cannot create request token because consumer token is not a verifier token","不能创建请求令牌，因为消费者标记是不一个验证程序"
"Request token is not associated with the specified consumer","请求令牌是不相关的指定的使用者"
"Token is already being used","令牌已被使用"
"Cannot get access token because consumer token is not a request token","无法获取访问令牌，因为消费者令牌不是请求的标记"
"Token is not associated with the specified consumer","令牌是不相关的指定的使用者"
"Token is not an access token","标记不是访问令牌"
"Access token has been revoked","访问令牌已被吊销"
"Consumer key is not the correct length","消费者的关键是不正确的长度"
"A consumer having the specified key does not exist","不存在具有指定的键的消费者"
"Verifier is invalid","验证程序无效"
"Verifier is not the correct length","验证程序是不正确的长度"
"Token verifier and verifier token do not match","令牌验证和验证令牌不匹配"
"A consumer with the ID %1 does not exist","具有 ID %1 的使用者并不存在"
"Token is not the correct length","令牌是不正确的长度"
"Specified token does not exist","不存在指定的标记"
"A token with consumer ID %1 does not exist","不存在一个令牌与消费者 ID %1"
"Unexpected error. Unable to create oAuth consumer account.","发生意外的错误。无法创建 oAuth 消费者帐户。"
"Unexpected error. Unable to load oAuth consumer account.","发生意外的错误。无法加载 oAuth 消费者帐户。"
"A consumer with ID %1 does not exist","具有 ID %1 的使用者并不存在"
