"We can't save the cron expression.","我们不能保存cron 表达式"
"Daily","每天"
"Weekly","每月"
"Monthly","每月"
"Invalid cron expression: %1","无效的 cron 表达式: %1"
"Invalid cron expression, expecting 'match/modulus': %1","无效的 cron 表达式，期待 ' 匹配与模量 ': %1"
"Invalid cron expression, expecting numeric modulus: %1","无效的 cron 表达式，期待数值模量: %1"
"Invalid cron expression, expecting 'from-to' structure: %1","无效的 cron 表达式，期待 '从-到' 结构: %1"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (计划任务)-所有的时间都是在几分钟内"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","为正确的 Url 生成期间 cron 运行请确认网络 > 安全和不安全基准网址显式设置。"
"Cron configuration options for group: ","组的 Cron 配置选项:"
"Generate Schedules Every","生成时间表每"
"Schedule Ahead for","为未来计划"
"Missed if Not Run Within","错过了如果不在运行"
"History Cleanup Every","历史记录清除每个"
"Success History Lifetime","成功的历史一生"
"Failure History Lifetime","失败历史一生"
"Use Separate Process","使用单独的进程"
