"Back","后退"
"Backup Log Details","（没有数据）"
"Create","创建"
"Requested system report has no data to output.","请求的系统报告有没有要输出的数据。"
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","你确定你想要删除的系统报告?"
"Download","下载"
"Go to Top","转到顶部"
"Report","报告"
"System Report Information","系统报告信息"
"Requested system report has no data to display.","请求的系统报告有没有要显示的数据。"
"Output path %1 doesn't exist","输出路径 %1 不存在"
"Unknown DB param: %1","未知的 DB 参数: %1"
"Paths file already exists","已经存在的路径文件"
"Paths file cannot be created","不能创建路径文件"
"Please select item(s).","请选择项目。"
"A total of %1 record(s) have been deleted.","已经删除 %1的记录"
"Support","支持"
"Data Collector","数据采集器"
"The backup has been saved.","已保存备份。"
"Failed to save backup with error: %1","Failed to save backup with error: %1"
"An error occurred while saving backup","An error occurred while saving backup"
"All processes should be complete","所有进程都应齐全"
"Wrong param id","错误参数 id"
"The backup has been deleted.","备份已被删除。"
"Cannot delete backup","无法删除备份"
"File does not exist","文件不存在"
"Log Details","日志详细信息"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","在大规模删除的数据收集器备份期间出错。请检查日志并再试一次。"
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed."
"Create System Report","创建系统报告"
"Unable to find a system report to delete.","无法找到要删除的系统报告。"
"The system report has been deleted.","系统报告已被删除。"
"An error occurred while deleting the system report. Please review log and try again.","删除系统报告时出错。请检查日志并再试一次。"
"Requested system report no longer exists.","请求的系统报告不再存在。"
"Unable to read system report data to display.","无法读取要显示的系统报告数据。"
"No groups were specified to generate system report.","没有组被指定要生成系统报告。"
"The system report has been generated.","已生成的系统报告。"
"An error occurred while the system report was being created. Please review the log and try again.","正在创建系统报告时发生错误。请查看日志并再试一次。"
"System Reports","系统报告"
"An error occurred during mass deletion of system reports. Please review log and try again.","在大规模删除的系统报告时出错。请检查日志并再试一次。"
"Utility %1 not found","找不到的实用程序 %1"
"Unknown utility: %1","未知的实用程序: %1"
"Support Module doesn't support %s operation system","支持模块不支持 %s 操作系统"
"Unable to create backup due to php exec function is disabled","无法创建备份由于 php exec 函数被禁用"
"Incomplete","不完整"
"Complete","完成"
"Failed","失败"
"Directory %s should have writable & readable permissions","目录 %s 应具有可写、 可读的权限"
"Windows","窗口"
"OS X","OS X"
"Unknown Status","未知的状态"
"Processing ...","正在处理..."
"(now)","(现在)"
"[%1 minutes ago]","[%1 分钟前]"
"[%1 hours ago]","[%1 小时前]"
"[%1 days ago]","[%1 天前]"
"[%1 weeks ago]","[%1 周前]"
"[%1 months ago]","[%1 个月前]"
"[%1 years ago]","[%1] 年前"
"And more...","和更多..."
"Column %1","列 %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","准备系统报告数据: 检测到单个行模式，但数据可能不完整。"
"Yes","是"
"No","否"
"All Eav Attributes","Eav 的所有属性"
"Category Eav Attributes","类别 Eav 属性"
"Customer Address Eav Attributes","客户地址 Eav 属性"
"Customer Eav Attributes","客户 Eav 属性"
"Entity Types","实体类型"
"ID","ID"
"Code","代码"
"Model","模型"
"Attribute Model","属性模型"
"Increment Model","增量模型"
"Main Table","主表"
"Additional Attribute Table","附加属性表"
"New Eav Attributes","新 Eav 属性"
"Product Eav Attributes","产品 Eav 属性"
"Rma Item Eav Attributes","Rma 商品 Eav 属性"
"User Defined Eav Attributes","用户定义的 Eav 属性"
"Name","名字"
"Enabled","启动"
"Value","价值"
"Scope","范围"
"Configuration","设置"
"Path","路径"
"Data from app/etc/env.php","来自 app/etc/env.php 的数据"
"Title","标题"
"Group","分组"
"Is Gateway","是网关"
"Void","创建于"
"For Checkout","签出"
"For Multishipping","为 Multishipping"
"Capture Online","捕获在线"
"Partial Capture Online","局部捕捉在线"
"Refund Online","网上退款"
