"You created the order.","你已经下单了"
"Order saving error: %1","订单保存错误: %1"
"Please choose a payment method.","请选择支付方式"
"We can't process your order right now. Please try again later.","商户邮件"
"Cannot place order.","不能下订单。"
"Credit Card: xxxx-%1","信用卡：xxxx-%1"
"amount %1","金额 %1"
"failed.","失败。"
"successful.","成功。"
"Authorize.Net Transaction ID %1.","Authorize.Net 交易记录 ID %1。"
"authorize","授权"
"authorize and capture","授权和获取"
"capture","获取"
"refund","退款"
"void","无效"
"Gateway error: %1","网关错误: %1"
"Something went wrong in the payment gateway.","出了错在支付网关。"
"Invalid amount for capture.","获取的金额无效。"
"Payment capturing error.","捕获错误的付款。"
"Invalid transaction ID.","无效的交易id。"
"Payment voiding error.","付款无效时出错。"
"Invalid amount for refund.","退款金额无效。"
"Payment refunding error.","付款退还时出错。"
"The transaction was declined because the response hash validation failed.","该交易被拒绝，因为响应hash验证失败。"
"This payment didn't work out because we can't find this order.","这笔款项并不奏效，因为我们找不到此命令。"
"There was a payment authorization error.","出现了一个付款授权错误。"
"Please enter a transaction ID to authorize this payment.","请输入要授权这笔付款的交易ID。"
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","什么地方出毛病: 已付的金额不匹配的订单额。请更正此错误，然后重试。"
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","交易 %1 已被批准。量 %2。交易记录的状态是""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","交易 %1 已作废有所下降。交易记录的状态是""%2""。量 %3。"
"Authorize Only","仅供授权"
"Authorize and Capture","授权和获取"
"Unable to get transaction details. Try again later.","无法获取交易记录详细信息。稍后再试。"
"Credit Card Type","卡片验证号码"
"Credit Card Number","信用卡卡号"
"Expiration Date","过期日期"
"Card Verification Number","信用卡验证号码"
"Fraud Detection ","欺诈检测"
"FDS Filter Action","FDS 筛选器操作"
"AVS Response","AVS 的反应"
"Card Code Response","卡码响应"
"CAVV Response","CAVV 响应"
"Fraud Filters","欺诈行为过滤器"
"Authorize.net Direct Post","Authorize.net 直接开机自检"
"Enabled","启动"
"Payment Action","支付行为"
"Title","标题"
"API Login ID","API 的登录 ID"
"Transaction Key","交易密钥"
"Merchant MD5","商家的 MD5"
"New Order Status","新订单状态"
"Test Mode","测试模板"
"Gateway URL","网关网址"
"Transaction Details URL","交易明细 URL"
"Accepted Currency","接受货币"
"Debug","调试"
"Email Customer","电子邮件客户"
"Merchant's Email","商家的电子邮件"
"Credit Card Types","信用卡类型"
"Credit Card Verification","信用卡验证"
"Payment from Applicable Countries","来自特定国家的付款"
"Payment from Specific Countries","具体国家的付款"
"Minimum Order Total","最高订单金额"
"Maximum Order Total","最大订单金额"
"Sort Order","排序"
