"Widget Insertion","前端APP ID"
"Insert Widget","Insert Widget"
"label","标签"
"Choose...","请选择..."
"Close","关闭"
"Not Selected","非所选"
"Widget","部件"
"Widget Type","Widget Type"
"-- Please Select --","-- 请选择 --"
"Manage Widget Instances","管理小部件实例"
"Add Widget","Add Widget"
"Save and Continue Edit","保存并继续编辑"
"Widget ""%1""","""%1""的小部件"
"New Widget Instance","新的小部件实例"
"Custom Layouts","自定义布局"
"Page Layouts","页面布局"
"Please Select Container First","请先选择容器"
"Storefront Properties","前台属性"
"Type","类型"
"Design Package/Theme","设计包的主题"
"Widget Title","Widget Title"
"Assign to Store Views","将分配给存储视图"
"Sort Order","排序"
"Sort Order of widget instances in the same container","小部件实例与同一容器中的排序顺序"
"Layout Updates","布局更新"
"Categories","分类"
"Anchor Categories","锚类别"
"Non-Anchor Categories","非锚类别"
"All Product Types","所有产品类型"
"Products","产品展示"
"Generic Pages","通用页"
"All Pages","所有页面"
"Specified Page","指定的页"
"Add Layout Update","添加布局更新"
"Remove Layout Update","删除布局更新"
"Widget Options","Widget Options"
"Settings","设置"
"Design Theme","设计网站模板"
"Continue","继续"
"Please specify a Widget Type.","Please specify a Widget Type."
"CMS","CMS页面链接内联摸板"
"Please specify a correct widget.","请指定正确的部件。"
"The widget instance has been deleted.","小部件实例已被删除。"
"New Widget","New Widget"
"Widgets","Widgets"
"The widget instance has been saved.","小部件实例已被保存。"
"name","名字"
"description","描述"
"We cannot create the widget instance because it is missing required information.","我们无法创建窗口小部件实例，因为它缺少所需的信息。"
"None","无"
"%1","1%"
"Container","货箱"
"Template","模板"
"All","全部"
"Specific %1","具体 %1"
"Open Chooser","打开选择器"
"Apply","应用"
"Page","页面"
"Orders and Returns","订单与退货"
"Orders and Returns Search Form","订单和返回搜索表单"
"Anchor Custom Title","自定义标题锚点"
"CMS Page Link Block Template","CMS 页面链接块模板"
"CMS Page Link Inline Template","CMS 页面链接内联模板"
"Display a Link to Loading a Spreadsheet","加载的SKU的列表"
"Defines whether a link to My Account","定义是否链接到我的账户"
"Link Text","链接文本"
"The text of the link to the My Account &gt; Order by SKU page","文本，链接到我的账户 &gt; SKU 页按顺序排列"
"Load a list of SKUs","加载 Sku 的列表"
"Product","产品"
"Select Product...","选择产品..."
"Conditions","条件"
"Widget ID","Widget ID"
