"Country","国家"
"Allowed Credit Card Types","无法更新送货方式"
"Add Rule","添加规则"
"Braintree Settlement Report","Braintree Settlement Report"
"Sorry, but something went wrong","对不起，但事情出了错"
"We can\'t initialize checkout.","We can\'t initialize checkout."
"No authorization transaction to proceed capture.","继续捕获未授权交易。"
"Braintree error response.","Braintree error response."
"Payment method nonce can\'t be retrieved.","Payment method nonce can\'t be retrieved."
"Wrong transaction status","Wrong transaction status"
"Authorize","授权"
"Authorize and Capture","授权和获取"
"--Please Select--","-- 请选择 --"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Paypal account","Paypal account"
"Coinbase account","Coinbase account"
"Europe bank account","Europe bank account"
"Credit card","Credit card"
"Apple pay card","Apple pay card"
"Android pay card","Android pay card"
"Authorization expired","Authorization expired"
"Authorizing","Authorizing"
"Authorized","Authorized"
"Gateway rejected","Gateway rejected"
"Failed","Failed"
"Processor declined","Processor declined"
"Settled","Settled"
"Settling","Settling"
"Submitted for settlement","Submitted for settlement"
"Voided","Voided"
"Unrecognized","Unrecognized"
"Settlement declined","Settlement declined"
"Settlement pending","Settlement pending"
"Settlement confirmed","Settlement confirmed"
"Sale","Sale"
"Credit","Credit"
"Credit Card Type","卡片验证号码"
"Credit Card Number","信用卡卡号"
"Please, enter valid Credit Card Number","请输入有效的信用卡号码"
"Expiration Date","过期日期"
"Please, enter valid Expiration Date","请输入有效的到期日期"
"Card Verification Number","信用卡验证号码"
"Please, enter valid Card Verification Number","请输入有效的信用卡验证号码"
"ending","结束"
"expires","到期"
"Credit Card Information","信用卡信息"
"What is this?","这是什么？"
"Save for later use.","保存供以后使用。"
"Place Order","对不起，暂无报价可供此订单现在。"
"This payment is not available","这笔付款不可用"
"MM","MM"
"YY","YY"
"Please try again with another form of payment.","Please try again with another form of payment."
"Sorry, but something went wrong.","Sorry, but something went wrong."
"BraintreeTwo","BraintreeTwo"
"&nbsp;","&nbsp;"
"Enable this Solution","启用此解决方案"
"Enable PayPal through Braintree","Enable PayPal through Braintree"
"Basic BraintreeTwo Settings","基本的 BraintreeTwo 设置"
"Title","标题"
"Environment","环境"
"Payment Action","支付行为"
"Merchant ID","商家ID"
"Public Key","公共密钥"
"Private Key","密钥"
"Advanced Braintree Settings","先进的Braintree 设置"
"Merchant Account ID","商人帐户 ID"
"Advanced Fraud Protection","先进的防欺诈保护"
"Kount Merchant ID","把商人 ID"
"Debug","调试"
"CVV Verification","CVV验证"
"Credit Card Types","信用卡类型"
"Sort Order","排序"
"Country Specific Settings","国家/地区特定的设置"
"Payment from Applicable Countries","来自特定国家的付款"
"Payment from Specific Countries","具体国家的付款"
"Country Specific Credit Card Types","国家特定的信用卡类型"
"PayPal through Braintree","PayPal through Braintree"
"Override Merchant Name","Override Merchant Name"
"Require Customer's Billing Address","Require Customer's Billing Address"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Allow to Edit Shipping Address Entered During Checkout on PayPal Side"
"Display on Shopping Cart","Display on Shopping Cart"
"3D Secure Verification Settings","3D 安全验证设置"
"3D Secure Verification","3D 安全验证"
"Threshold Amount","阈值金额"
"Verify for Applicable Countries","验证为适用的国家"
"Verify for Specific Countries","验证为特定的国家"
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format."
"Select...","Select..."
"Status","Status"
"Transaction Type","Transaction Type"
"PayPal Payment ID","PayPal Payment ID"
"Transaction ID","Transaction ID"
"Order ID","Order ID"
"Payment Type","Payment Type"
"Type","Type"
"Created At","Created At"
"Amount","Amount"
"Settlement Code","Settlement Code"
"Settlement Response Text","Settlement Response Text"
"Refund Ids","Refund Ids"
"Settlement Batch ID","Settlement Batch ID"
"Currency","Currency"
