"Add Tax","小计中包含商品固定税"
"Delete Tax","删除税"
"All Websites","所有网站"
"FPT","FPT"
"We found a duplicate of website, country and state fields for a fixed product tax","我们发现重复的网站、 国家和国家领域为固定的产品税"
"Including FPT only","只包括 FPT"
"Including FPT and FPT description","包括 FPT 和 FPT 描述"
"Excluding FPT. Including FPT description and final price","Excluding FPT. Including FPT description and final price"
"Excluding FPT","不包括 FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","固定的产品税"
"Excl. Tax","不包括消费税"
"Total","总额"
"Incl. Tax","含。税"
"Total Incl. Tax","总含税"
"Website","网站"
"Country/State","国家/州"
"Tax","税"
"Action","操作"
"Final Price","最终价格"
"Fixed Product Taxes","固定的产品税"
"Enable FPT","启用 FPT"
"Display Prices In Product Lists","在产品列表中显示的价格"
"Display Prices On Product View Page","产品视图页面上显示的价格"
"Display Prices In Sales Modules","在销售模块中显示价格"
"Display Prices In Emails","在电子邮件中显示的价格"
"Apply Tax To FPT","适用于 FPT 税"
"Include FPT In Subtotal","在分类汇总中包括 FPT"
