"Banners","广告已保存。"
"Add Banner","添加Banner"
"Save Banner","保存Banner"
"Delete Banner","删除Banner"
"Save and Continue Edit","保存并继续编辑"
"New Banner","新Banner"
"Content","内容"
"Default Content","默认内容"
"No Default Content","没有默认内容"
"Banner Default Content for All Store Views","所有存储视图的Banner默认内容"
"Store View Specific Content","存储查看具体内容"
"Use Default","使用默认"
"Related Promotions","相关促销活动"
"ID","ID"
"Rule","规则名称"
"Start Date","起始日期"
"End Date","结束日期"
"Status","状态"
"Banner Properties","Banner属性"
"Banner Name","标题名称"
"Active","活动"
"Inactive","未激活"
"Applies To","适用于"
"Any Banner Type","任何Banner类型"
"Specified Banner Types","指定的标题类型"
"Specify Types","指定类型"
"Banner Information","Banner信息"
"Banner","Banner"
"Banner Type","标题类型"
"Visibility","可见性"
"Delete","删除"
"Are you sure you want to delete these banners?","确实要删除这些标语吗?"
"Related Banners","相关的Banner"
"Position","位置"
"This rule no longer exists.","该规则已不存在。"
"This banner does not exist.","这面Banner不存在。"
"You deleted the banner.","你删除的Banner。"
"Something went wrong while deleting banner data. Please review the action log and try again.","删除Banner数据时出了错。请检查操作日志并再试一次。"
"We cannot find a banner to delete.","我们找不到删除Banner。"
"This banner no longer exists.","Banner不再存在。"
"Edit Banner","编辑标题"
"Please select a banner(s).","请选择Banner。"
"You deleted %1 record(s).","你删除 %1 记录。"
"Something went wrong while mass-deleting banners. Please review the action log and try again.","而大众删除Banner，出了错。请检查操作日志并再试一次。"
"You saved the banner.","你保存的Banner。"
"We cannot save the banner.","我们不能保存这个Banner。"
"Please enter a name.","请输入一个名称。"
"Please specify default content for at least one store view.","请指定至少一个存储视图的默认内容。"
"-- None --","— — 无 — —"
"Error","错误"
"Related Cart Price Rules","相关购物车价格规则。"
"Related Catalog Price Rules","相关的目录价格规则。"
"Manage Banners","管理Banners"
"Banner Rotator","Banner旋转"
"Displays Specified or Promotion Banners","显示指定或推广Banners"
"Banners to Display","显示Banners"
"Specified Banners","指定的Banners"
"Shopping Cart Promotions Related","购物车促销相关"
"Catalog Promotions Related","目录相关的促销活动"
"Restrict by Banner Types","通过Banner 类型限制"
"Rotation Mode","旋转模式"
"Display all instead of rotating","显示所有，而不是旋转"
"One at the time, Random","一次，随机"
"One at the time, Series","一个晚上的时间，系列"
"One at the time, Shuffle","一个晚上的时间，洗牌"
"Specify Banners","指定Banners"
"Banner Block Template","标题块模板"
"Banner Inline Template","Banner行内模板"
